Handle,Command,Variant SKU,Variant Inventory Qty,Variant Inventory Policy
400140,MERGE,400140,1,deny
28240_a,MERGE,28240_A,1,deny
41430_a,MERGE,41430_A,28,deny
28240,MERGE,28240,1,deny
770854res_a,MERGE,770854RES_A,76,deny
28240red_a,MERGE,28240RED_A,8,deny
28240red,MERGE,28240RED,8,deny
88207,MERGE,88207,103,deny
88208,MERGE,88208,276,deny
cvpthrt37r,MERGE,CVPTHRT37R,9,deny
31450,MERGE,31450,1,deny
96132,MERGE,96132,25,deny
96133,MERGE,96133,25,deny
70344,MERGE,70344,1,deny
699800,MERGE,699800,52,deny
689087,MERGE,689087,47,deny
hp80010,MERGE,HP80010,89,deny
s-g11912-gbd,MERGE,S-G11912-GBD,1,deny
f-d10917a-pr6,MERGE,F-D10917A-PR6,1,deny
f-d10917a-pdn,MERGE,F-D10917A-PDN,1,deny
s-g11911-g42,MERGE,S-G11911-G42,1,deny
f-c12211-g42,MERGE,F-C12211-G42,1,deny
f-c12011a-g42,MERGE,F-C12011A-G42,1,deny
s-g11912-gjv,MERGE,S-G11912-GJV,1,deny
s-f20911a-e9,MERGE,S-F20911A-E9,1,deny
f-f20911b-e9,MERGE,F-F20911B-E9,1,deny
s-d10917-pr6,MERGE,S-D10917-PR6,1,deny
s-d10917-pdn,MERGE,S-D10917-PDN,1,deny
s-g11912-g42,MERGE,S-G11912-G42,1,deny
f-g12011a-g42,MERGE,F-G12011A-G42,1,deny
f-g12011a-gbd,MERGE,F-G12011A-GBD,1,deny
f-g12011a-gjv,MERGE,F-G12011A-GJV,1,deny
s-t12511-040,MERGE,S-T12511-040,1,deny
s-c12210-g42,MERGE,S-C12210-G42,1,deny
s-c12215-g42,MERGE,S-C12215-G42,1,deny
f-t12511-040,MERGE,F-T12511-040,1,deny
f-t12511-4z2,MERGE,F-T12511-4Z2,1,deny
f-t12511-4z0,MERGE,F-T12511-4Z0,1,deny
s-d319205-pr6,MERGE,S-D319205-PR6,1,deny
f-t12511-6x7,MERGE,F-T12511-6X7,1,deny
f-t12511-796,MERGE,F-T12511-796,1,deny
s-f20231-z1,MERGE,S-F20231-Z1,1,deny
s-f20231-t9,MERGE,S-F20231-T9,1,deny
s-f20231-e9,MERGE,S-F20231-E9,1,deny
s-d319205-pj7,MERGE,S-D319205-PJ7,1,deny
s-d319205-pg9,MERGE,S-D319205-PG9,1,deny
s-d319205-pdn,MERGE,S-D319205-PDN,1,deny
o-t12421-4z2,MERGE,O-T12421-4Z2,1,deny
o-t12421-796,MERGE,O-T12421-796,1,deny
o-t12421-8x0,MERGE,O-T12421-8X0,1,deny
f-t12421-8x0,MERGE,F-T12421-8X0,1,deny
f-t12421-796,MERGE,F-T12421-796,1,deny
f-t12421-4z2,MERGE,F-T12421-4Z2,1,deny
f-f20231-e9,MERGE,F-F20231-E9,1,deny
a-c12211-g42,MERGE,A-C12211-G42,1,deny
s-t42211-796,MERGE,S-T42211-796,1,deny
s-t42211-4z2,MERGE,S-T42211-4Z2,1,deny
s-t42211-1l7,MERGE,S-T42211-1L7,1,deny
f-c11950a-g42,MERGE,F-C11950A-G42,1,deny
s-t42211-1k6,MERGE,S-T42211-1K6,1,deny
f-f20231-t9,MERGE,F-F20231-T9,1,deny
f-t11413-1k6,MERGE,F-T11413-1K6,1,deny
f-t11413-796,MERGE,F-T11413-796,1,deny
f-t11413-4z2,MERGE,F-T11413-4Z2,1,deny
f-t11413-1l7,MERGE,F-T11413-1L7,1,deny
f-f20231-z1,MERGE,F-F20231-Z1,1,deny
51509550,MERGE,51509550,187,deny
hp20011,MERGE,HP20011,182,deny
hp20011-rcgb,MERGE,HP20011-RCGB,11,deny
96129,MERGE,96129,134,deny
57006,MERGE,57006,123,deny
51505650,MERGE,51505650,126,deny
96131,MERGE,96131,1,deny
72700,MERGE,72700,22,deny
77244,MERGE,77244,1,deny
77240,MERGE,77240,1,deny
77231,MERGE,77231,1,deny
77230,MERGE,77230,1,deny
esr71520,MERGE,ESR71520,366,deny
73134,MERGE,73134,65,deny
esr050205,MERGE,ESR050205,163,deny
esr71520,MERGE,ESR71520,366,deny
esr050210,MERGE,ESR050210,163,deny
esr71525,MERGE,ESR71525,260,deny
esr61920,MERGE,ESR61920,34,deny
esr70900,MERGE,ESR70900,60,deny
esr652024,MERGE,ESR652024,173,deny
esr61920,MERGE,ESR61920,34,deny
esr61925,MERGE,ESR61925,34,deny
esr51523,MERGE,ESR51523,66,deny
esr51518,MERGE,ESR51518,66,deny
esr51330,MERGE,ESR51330,559,deny
13007-ga0,MERGE,13007-GA0,1,deny
13007-gjv,MERGE,13007-GJV,1,deny
13007-gan,MERGE,13007-GAN,1,deny
13007-gaz,MERGE,13007-GAZ,1,deny
13007-g6m,MERGE,13007-G6M,1,deny
13007-gb8,MERGE,13007-GB8,1,deny
13007-gba,MERGE,13007-GBA,1,deny
13007-gbd,MERGE,13007-GBD,1,deny
13007-gtl,MERGE,13007-GTL,1,deny
13007-glt,MERGE,13007-GLT,1,deny
13007-gno,MERGE,13007-GNO,1,deny
13007-g7c,MERGE,13007-G7C,1,deny
13007-gxd,MERGE,13007-GXD,1,deny
13007-gxn,MERGE,13007-GXN,1,deny
13007-gxp,MERGE,13007-GXP,1,deny
rc09281a,MERGE,RC09281A,331,deny
99090,MERGE,99090,44,deny
23337_a,MERGE,23337_A,209,deny
23338_a,MERGE,23338_A,191,deny
75657,MERGE,75657,35,deny
75650,MERGE,75650,35,deny
699865,MERGE,699865,43,deny
689178,MERGE,689178,35,deny
684180,MERGE,684180,36,deny
684149,MERGE,684149,49,deny
tc13027,MERGE,TC13027,109,deny
72120,MERGE,72120,105,deny
72119,MERGE,72119,24,deny
hp80011-rcgb,MERGE,HP80011-RCGB,32,deny
98202490,MERGE,98202490,44,deny
hp80011,MERGE,HP80011,140,deny
hp80010-rcgb,MERGE,HP80010-RCGB,23,deny
51159,MERGE,51159,9,deny
51160,MERGE,51160,9,deny
51161,MERGE,51161,1,deny
24000,MERGE,24000,132,deny
84320,MERGE,84320,25,deny
30005,MERGE,30005,1,deny
9979,MERGE,9979,43,deny
99088,MERGE,99088,221,deny
74330,MERGE,74330,1,deny
pw059391,MERGE,PW059391,112,deny
25000,MERGE,25000,86,deny
96128,MERGE,96128,14,deny
95020,MERGE,95020,16,deny
770855_b,MERGE,770855_B,140,deny
45000,MERGE,45000,414,deny
45001,MERGE,45001,48,deny
65000,MERGE,65000,427,deny
25001,MERGE,25001,464,deny
734064,MERGE,734064,43,deny
51504600,MERGE,51504600,97,deny
86740,MERGE,86740,1,deny
734054,MERGE,734054,3,deny
23329-2_a,MERGE,23329-2_A,58,deny
hp20010,MERGE,HP20010,163,deny
hp10011-rcgb,MERGE,HP10011-RCGB,22,deny
hp20010-rcgb,MERGE,HP20010-RCGB,50,deny
hp10011,MERGE,HP10011,89,deny
10664,MERGE,10664,171,deny
73133,MERGE,73133,72,deny
53002,MERGE,53002,75,deny
53001,MERGE,53001,72,deny
hp30010,MERGE,HP30010,86,deny
734065,MERGE,734065,27,deny
hp30010-rcgb,MERGE,HP30010-RCGB,28,deny
91071l,MERGE,91071L,1,deny
hp10010-rcgb,MERGE,HP10010-RCGB,122,deny
51212,MERGE,51212,5,deny
rcm692,MERGE,RCM692,1,deny
51212w,MERGE,51212W,3,deny
791017,MERGE,791017,1,deny
789018,MERGE,789018,1,deny
hp10010,MERGE,HP10010,34,deny
789017,MERGE,789017,1,deny
8749130ws,MERGE,8749130WS,203,deny
8734230ws,MERGE,8734230WS,835,deny
8731730ws,MERGE,8731730WS,1254,deny
502189,MERGE,502189,71,deny
502080_a,MERGE,502080_A,102,deny
502154_c,MERGE,502154_C,64,deny
502154_a,MERGE,502154_A,64,deny
502154_b,MERGE,502154_B,64,deny
684198,MERGE,684198,52,deny
pw059331,MERGE,PW059331,31,deny
46830,MERGE,46830,8,deny
94000,MERGE,94000,119,deny
13007,MERGE,13007,61,deny
41015,MERGE,41015,20,deny
esr70911,MERGE,ESR70911,274,deny
51210690,MERGE,51210690,96,deny
51309650,MERGE,51309650,43,deny
51309550,MERGE,51309550,88,deny
760865_b,MERGE,760865_B,107,deny
760865_c,MERGE,760865_C,107,deny
770768_ac,MERGE,770768_AC,51,deny
vpxt208r,MERGE,VPXT208R,204,deny
791015,MERGE,791015,30,deny
789015,MERGE,789015,32,deny
99095,MERGE,99095,739,deny
789016,MERGE,789016,30,deny
72014,MERGE,72014,217,deny
esr51920,MERGE,ESR51920,1,deny
esr9010,MERGE,ESR9010,222,deny
13006-gxn,MERGE,13006-GXN,1,deny
13006-gb8,MERGE,13006-GB8,1,deny
13006-gba,MERGE,13006-GBA,1,deny
13006-gno,MERGE,13006-GNO,1,deny
13006-gbd,MERGE,13006-GBD,1,deny
13006-gjv,MERGE,13006-GJV,1,deny
13006-glt,MERGE,13006-GLT,1,deny
50415500,MERGE,50415500,349,deny
13006-gxp,MERGE,13006-GXP,1,deny
13006-gaz,MERGE,13006-GAZ,1,deny
13006-ga0,MERGE,13006-GA0,1,deny
13006-gan,MERGE,13006-GAN,1,deny
13006-g7c,MERGE,13006-G7C,1,deny
13006-g6m,MERGE,13006-G6M,1,deny
13006,MERGE,13006,61,deny
13006-gxd,MERGE,13006-GXD,1,deny
95000,MERGE,95000,1,deny
13006-gtl,MERGE,13006-GTL,1,deny
8733410,MERGE,8733410,132,deny
76331,MERGE,76331,13,deny
93224,MERGE,93224,48,deny
93304,MERGE,93304,54,deny
93303,MERGE,93303,114,deny
93302,MERGE,93302,114,deny
93301,MERGE,93301,114,deny
501198,MERGE,501198,75,deny
tvprt02n,MERGE,TVPRT02N,37,deny
502198,MERGE,502198,94,deny
41716505a,MERGE,41716505A,1,deny
400340,MERGE,400340,2,deny
93215,MERGE,93215,54,deny
10585,MERGE,10585,1,deny
10613v2,MERGE,10613V2,1,deny
93212,MERGE,93212,90,deny
93213,MERGE,93213,90,deny
93214,MERGE,93214,90,deny
88206,MERGE,88206,90,deny
10660,MERGE,10660,1,deny
73225,MERGE,73225,169,deny
77300,MERGE,77300,72,deny
rc09901,MERGE,RC09901,20,deny
ff-6141_a,MERGE,FF-6141_A,84,deny
75014,MERGE,75014,98,deny
770868_a,MERGE,770868_A,131,deny
rc0994,MERGE,RC0994,10,deny
s-f20231-dr,MERGE,S-F20231-DR,1,deny
s-t42211-1g3,MERGE,S-T42211-1G3,1,deny
50415551,MERGE,50415551,136,deny
f-d319205-pas,MERGE,F-D319205-PAS,1,deny
a-f20231-m7,MERGE,A-F20231-M7,1,deny
a-f20231-dr,MERGE,A-F20231-DR,1,deny
51214550,MERGE,51214550,105,deny
s-f20911a-t9,MERGE,S-F20911A-T9,1,deny
s-f20911a-lj,MERGE,S-F20911A-LJ,1,deny
f-d10917a-pse,MERGE,F-D10917A-PSE,1,deny
s-d319205-pse,MERGE,S-D319205-PSE,1,deny
f-f320210a-lj,MERGE,F-F320210A-LJ,1,deny
s-d319205-pcg,MERGE,S-D319205-PCG,1,deny
s-d319205-pb8,MERGE,S-D319205-PB8,1,deny
s-d319205-pau,MERGE,S-D319205-PAU,1,deny
s-d319205-pas,MERGE,S-D319205-PAS,1,deny
s-d10917-pse,MERGE,S-D10917-PSE,1,deny
s-d10917-pcg,MERGE,S-D10917-PCG,1,deny
s-d10917-pas,MERGE,S-D10917-PAS,1,deny
f-f320210a-t9,MERGE,F-F320210A-T9,1,deny
51129651,MERGE,51129651,157,deny
f-f20911b-t9,MERGE,F-F20911B-T9,1,deny
f-d319205-pcg,MERGE,F-D319205-PCG,1,deny
f-d319205-pse,MERGE,F-D319205-PSE,1,deny
f-f12401-e7,MERGE,F-F12401-E7,1,deny
49225650_a,MERGE,49225650_A,174,deny
f-f12401-t9,MERGE,F-F12401-T9,1,deny
49225650,MERGE,49225650,174,deny
f-d319205-pau,MERGE,F-D319205-PAU,1,deny
f-d319205-pb8,MERGE,F-D319205-PB8,1,deny
f-c12311-gae,MERGE,F-C12311-GAE,1,deny
f-c12311-gal,MERGE,F-C12311-GAL,1,deny
49221550,MERGE,49221550,884,deny
f-c12311-gbf,MERGE,F-C12311-GBF,1,deny
49220550,MERGE,49220550,121,deny
f-f12401-va,MERGE,F-F12401-VA,1,deny
f-f20231-dr,MERGE,F-F20231-DR,1,deny
f-c12311-gnt,MERGE,F-C12311-GNT,1,deny
f-d10917a-pas,MERGE,F-D10917A-PAS,1,deny
f-d10917a-pcg,MERGE,F-D10917A-PCG,1,deny
f-f20911b-lj,MERGE,F-F20911B-LJ,1,deny
a-d319205-pas,MERGE,A-D319205-PAS,1,deny
a-d319205-pau,MERGE,A-D319205-PAU,1,deny
a-d319205-pb8,MERGE,A-D319205-PB8,1,deny
a-d319205-pcg,MERGE,A-D319205-PCG,1,deny
a-d319205-pse,MERGE,A-D319205-PSE,1,deny
55010,MERGE,55010,137,deny
55009,MERGE,55009,135,deny
51120500,MERGE,51120500,198,deny
50410600,MERGE,50410600,52,deny
50210520,MERGE,50210520,39,deny
73405,MERGE,73405,42,deny
71155,MERGE,71155,34,deny
71154,MERGE,71154,27,deny
73406,MERGE,73406,93,deny
50215522,MERGE,50215522,1,deny
57009,MERGE,57009,10,deny
50219500,MERGE,50219500,36,deny
50120525,MERGE,50120525,1,deny
vpxt215r,MERGE,VPXT215R,1,deny
88205,MERGE,88205,90,deny
51162,MERGE,51162,171,deny
33010,MERGE,33010,100,deny
98102492,MERGE,98102492,59,deny
51164,MERGE,51164,171,deny
98222270,MERGE,98222270,40,deny
51163,MERGE,51163,171,deny
57004,MERGE,57004,202,deny
76171218,MERGE,76171218,3,deny
76171211,MERGE,76171211,32,deny
76171210,MERGE,76171210,1,deny
76170914,MERGE,76170914,97,deny
76170913,MERGE,76170913,81,deny
76171212,MERGE,76171212,1,deny
57007,MERGE,57007,164,deny
13015,MERGE,13015,131,deny
47415551b,MERGE,47415551B,1,deny
rc0995,MERGE,RC0995,56,deny
rc0996,MERGE,RC0996,42,deny
47410600b,MERGE,47410600B,1,deny
391015,MERGE,391015,195,deny
82150730,MERGE,82150730,1,deny
301016,MERGE,301016,200,deny
301015,MERGE,301015,201,deny
82150735,MERGE,82150735,66,deny
